id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
1629028,2021-03-26 04:41:02.316,2021-03-26 04:41:02.316,1629028,Deandre Ayton,deandre-ayton,1610612756,6-11,250,22,C
1629642,2021-03-26 04:41:02.321,2021-03-26 04:41:02.321,1629642,Nassir Little,nassir-little,1610612757,6-5,220,9,F-G
203994,2021-03-26 04:41:02.327,2021-03-26 04:41:02.327,203994,Jusuf Nurkic,jusuf-nurkic,1610612757,6-11,290,27,C
425,2021-03-26 04:41:02.332,2021-03-26 04:41:02.332,1627812,Yogi Ferrell,yogi-ferrell,1610612758,6-0,178,3,G
1628368,2021-03-26 04:41:02.336,2021-03-26 04:41:02.336,1628368,De'Aaron Fox,deaaron-fox,1610612758,6-3,185,5,G
1629139,2021-03-26 04:41:02.342,2021-03-26 04:41:02.342,1629139,Yuta Watanabe,yuta-watanabe,1610612761,6-9,215,18,G-F
1629010,2021-03-26 04:41:02.346,2021-03-26 04:41:02.346,1629010,Jerome Robinson,jerome-robinson,1610612764,6-4,190,12,G
1628418,2021-03-26 04:41:02.351,2021-03-26 04:41:02.351,1628418,Thomas Bryant,thomas-bryant,1610612764,6-10,248,13,C-F
1629726,2021-03-26 04:41:02.357,2021-03-26 04:41:02.357,1629726,Garrison Mathews,garrison-mathews,1610612764,6-5,215,24,G
1629690,2021-03-26 04:41:02.362,2021-03-26 04:41:02.362,1629690,Adam Mokoka,adam-mokoka,1610612741,6-4,190,20,G
203083,2021-03-26 04:41:02.368,2021-03-26 04:41:02.368,203083,Andre Drummond,andre-drummond,1610612739,6-10,279,3,C
365,2021-03-26 04:41:02.372,2021-03-26 04:41:02.372,1628982,Melvin Frazier Jr.,melvin-frazier-jr,1610612753,6-5,215,35,G-F
1627750,2021-03-26 04:41:02.378,2021-03-26 04:41:02.378,1627750,Jamal Murray,jamal-murray,1610612743,6-3,215,27,G
203095,2021-03-26 04:41:02.383,2021-03-26 04:41:02.383,203095,Evan Fournier,evan-fournier,1610612753,6-7,205,10,G-F
1628404,2021-03-26 04:41:02.388,2021-03-26 04:41:02.388,1628404,Josh Hart,josh-hart,1610612740,6-5,215,3,G
203920,2021-03-26 04:41:02.394,2021-03-26 04:41:02.394,203920,Khem Birch,khem-birch,1610612753,6-9,233,24,C
1628372,2021-03-26 04:41:02.399,2021-03-26 04:41:02.399,1628372,Dennis Smith Jr.,dennis-smith-jr,1610612765,6-2,205,0,G
385,2021-03-26 04:41:02.403,2021-03-26 04:41:02.403,203658,Norvel Pelle,norvel-pelle,1610612755,6-10,231,14,F
203090,2021-03-26 04:41:02.408,2021-03-26 04:41:02.408,203090,Maurice Harkless,maurice-harkless,1610612748,6-7,220,8,F-G
384,2021-03-26 04:41:02.413,2021-03-26 04:41:02.413,1629151,Ryan Broekhoff,ryan-broekhoff,1610612755,6-6,215,45,G-F
1628969,2021-03-26 04:41:02.418,2021-03-26 04:41:02.418,1628969,Mikal Bridges,mikal-bridges,1610612756,6-6,209,25,F
416,2021-03-26 04:41:02.422,2021-03-26 04:41:02.422,1626209,Mario Hezonja,mario-hezonja,1610612757,6-8,220,44,F-G
424,2021-03-26 04:41:02.427,2021-03-26 04:41:02.427,201147,Corey Brewer,corey-brewer,1610612758,6-9,188,13,G-F
418,2021-03-26 04:41:02.432,2021-03-26 04:41:02.432,1629658,Jaylen Hoard,jaylen-hoard,1610612757,6-8,216,6,F
202355,2021-03-26 04:41:02.437,2021-03-26 04:41:02.437,202355,Hassan Whiteside,hassan-whiteside,1610612758,7-0,265,20,C
407,2021-03-26 04:41:02.442,2021-03-26 04:41:02.442,1628403,Caleb Swanigan,caleb-swanigan,1610612757,6-9,260,50,F
