id,createdAt,updatedAt,handle,name,teamId,type,isAssistant
1630363,2021-03-26 19:04:40.773,2021-03-26 19:05:48.939,1630363,Dean Oliver,1610612764,Assistant Coach,2
1778,2021-03-26 19:04:40.683,2021-03-26 19:05:40.589,1778,Nate McMillan,1610612737,Head Coach,1
1630017,2021-03-26 19:04:40.688,2021-03-26 19:05:40.677,1630017,John Dusel,1610612737,Assistant Trainer,4
203535,2021-03-26 19:04:40.039,2021-03-26 19:05:40.899,203535,Brad Stevens,1610612738,Head Coach,1
1627590,2021-03-26 19:04:40.073,2021-03-26 19:05:40.948,1627590,Jerome Allen,1610612738,Assistant Coach,2
1628179,2021-03-26 19:04:40.293,2021-03-26 19:05:41.293,1628179,Royal Ivey,1610612751,Assistant Coach,2
1629412,2021-03-26 19:04:40.096,2021-03-26 19:05:41.346,1629412,Dan Liburd,1610612751,Strength and Conditioning Coach,5
2794,2021-03-26 19:04:40.129,2021-03-26 19:05:42.171,2794,JB Bickerstaff,1610612739,Head Coach,1
202599,2021-03-26 19:04:40.139,2021-03-26 19:05:42.492,202599,Darrell Armstrong,1610612742,Assistant Coach,2
1335,2021-03-26 19:04:40.166,2021-03-26 19:05:43.047,1335,Dwane Casey,1610612765,Head Coach,1
204005,2021-03-26 19:04:40.172,2021-03-26 19:05:43.321,204005,Steve Kerr,1610612744,Head Coach,1
2205,2021-03-26 19:04:40.777,2021-03-26 19:05:43.633,2205,DeSagana Diop,1610612745,Assistant Coach,2
203599,2021-03-26 19:04:40.327,2021-03-26 19:05:44.15,203599,Dan Craig,1610612746,Associate Head Coach,9
1497,2021-03-26 19:04:40.789,2021-03-26 19:05:44.177,1497,Chauncey Billups,1610612746,Lead Assistant Coach,13
1630361,2021-03-26 19:04:40.791,2021-03-26 19:05:44.184,1630361,Jeremy Castleberry,1610612746,Assistant Coach,2
201689,2021-03-26 19:04:40.793,2021-03-26 19:05:44.19,201689,Roy Rogers,1610612746,Assistant Coach,2
201690,2021-03-26 19:04:40.794,2021-03-26 19:05:44.197,201690,Kenny Atkinson,1610612746,Assistant Coach,2
1628472,2021-03-26 19:04:40.433,2021-03-26 19:05:44.489,1628472,Miles Simon,1610612747,Assistant Coach,2
201766,2021-03-26 19:04:40.634,2021-03-26 19:05:44.522,201766,Nina Hsieh,1610612747,Trainer,3
1630290,2021-03-26 19:04:40.796,2021-03-26 19:05:44.741,1630290,Sonia Raman,1610612763,Assistant Coach,2
202433,2021-03-26 19:04:40.798,2021-03-26 19:05:44.747,202433,Vitaly Potapenko,1610612763,Assistant Coach,2
201336,2021-03-26 19:04:40.817,2021-03-26 19:05:44.798,201336,Blake Ahearn,1610612763,Assistant Coach,2
